Timestamp,Event Type,Duration,Details
2024-11-02 23:18:35,Distraction,,Eating/Drinking
2024-11-02 23:18:35,Distraction,,Eating/Drinking
2024-11-02 23:18:35,Distraction,,Eating/Drinking
2024-11-02 23:18:35,Distraction,,Eating/Drinking
2024-11-02 23:18:35,Distraction,,Eating/Drinking
2024-11-02 23:18:35,Distraction,,Eating/Drinking
2024-11-02 23:18:35,Distraction,,Eating/Drinking
2024-11-02 23:18:35,Distraction,,Eating/Drinking
2024-11-02 23:18:35,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:36,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
2024-11-02 23:18:37,Distraction,,Eating/Drinking
