Timestamp,Event Type,Duration,Details
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:13,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:14,Distraction,,Drowsy
2024-11-02 23:03:20,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:21,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
2024-11-02 23:03:22,Distraction,,Drowsy
